,imdb_id,original_title,avg_vote,release_year
3217,tt0098635,When Harry Met Sally...,7.6,1989
3223,tt0097958,National Lampoon's Christmas Vacation,7.6,1989
3653,tt0091064,The Fly,7.6,1986
2762,tt0112384,Apollo 13,7.6,1995
2088,tt0427944,Thank You for Smoking,7.6,2005
3225,tt0096754,The Abyss,7.6,1989
1483,tt1707386,Les Mis̩rables,7.6,2012
3215,tt0097757,The Little Mermaid,7.6,1989
2072,tt0416320,Match Point,7.6,2005
1457,tt1649419,Lo imposible,7.6,2012
2775,tt0112579,The Bridges of Madison County,7.6,1995
2867,tt0104952,My Cousin Vinny,7.6,1992
57,tt3397884,Sicario,7.6,2015
1496,tt1855199,End of Watch,7.6,2012
2387,tt0387564,Saw,7.6,2004
3714,tt0065988,Little Big Man,7.6,1970
3033,tt0181865,Traffic,7.6,2000
3027,tt0144084,American Psycho,7.6,2000
32,tt3682448,Bridge of Spies,7.6,2015
2889,tt0082694,Mad Max 2,7.6,1981
1275,tt0289043,28 Days Later...,7.6,2002
3732,tt0077928,Midnight Express,7.6,1978
2359,tt0289879,The Butterfly Effect,7.6,2004
3740,tt0078480,Watership Down,7.6,1978
3743,tt0061619,El Dorado,7.6,1966
1971,tt2431286,Philomena,7.6,2013
2945,tt0117665,Sleepers,7.6,1996
3744,tt0060934,The Sand Pebbles,7.6,1966
1253,tt1714210,Weekend,7.6,2011
64,tt3076658,Creed,7.6,2015
528,tt1403865,True Grit,7.6,2010
3113,tt0084649,The Secret of NIMH,7.6,1982
1041,tt0449994,Jodhaa Akbar,7.6,2008
3160,tt0120863,The Thin Red Line,7.6,1998
2785,tt0114388,Sense and Sensibility,7.6,1995
3153,tt0120669,Fear and Loathing in Las Vegas,7.6,1998
2055,tt0399295,Lord of War,7.6,2005
718,tt0174856,The Hurricane,7.6,1999
1269,tt0181689,Minority Report,7.6,2002
3136,tt0118929,Dark City,7.6,1998
3127,tt0120762,Mulan,7.6,1998
945,tt0814314,Seven Pounds,7.6,2008
3694,tt0070608,Robin Hood,7.6,1973
513,tt1323594,Despicable Me,7.6,2010
1144,tt1210166,Moneyball,7.6,2011
3114,tt0084707,Sophie's Choice,7.6,1982
524,tt1250777,Kick-Ass,7.6,2010
2759,tt0112864,Die Hard: With a Vengeance,7.6,1995
2577,tt0765443,Eastern Promises,7.6,2007
3629,tt0061852,The Jungle Book,7.6,1967
3318,tt0095705,The Naked Gun: From the Files of Police Squad!,7.6,1988
1109,tt1306980,50/50,7.6,2011
814,tt0215750,Enemy at the Gates,7.6,2001
1686,tt0289992,The Life of David Gale,7.6,2003
325,tt0075860,Close Encounters of the Third Kind,7.6,1977
813,tt0221027,Blow,7.6,2001
812,tt0265666,The Royal Tenenbaums,7.6,2001
357,tt0878804,The Blind Side,7.6,2009
358,tt1156398,Zombieland,7.6,2009
2197,tt0454848,Inside Man,7.6,2006
1698,tt0340377,The Station Agent,7.6,2003
1758,tt0116922,Lost Highway,7.6,1997
1072,tt1318514,Rise of the Planet of the Apes,7.6,2011
3489,tt0099810,The Hunt for Red October,7.6,1990
795,tt0241527,Harry Potter and the Philosopher's Stone,7.6,2001
168,tt2713180,Fury,7.6,2014
179,tt2103281,Dawn of the Planet of the Apes,7.6,2014
2928,tt0117731,Star Trek: First Contact,7.6,1996
2522,tt0486655,Stardust,7.6,2007
2684,tt0087469,Indiana Jones and the Temple of Doom,7.6,1984
3345,tt0094947,Dangerous Liaisons,7.6,1988
2537,tt0829482,Superbad,7.6,2007
810,tt0203009,Moulin Rouge!,7.6,2001
2625,tt0419887,The Kite Runner,7.6,2007
352,tt0409459,Watchmen,7.6,2009
1400,tt0109506,The Crow,7.6,1994
823,tt0230600,The Others,7.6,2001
3628,tt0107156,Xi yan,7.6,1993
3379,tt0093409,Lethal Weapon,7.6,1987
3462,tt0058404,The Night of the Iguana,7.6,1964
2676,tt0079116,Escape from Alcatraz,7.6,1979
343,tt0417741,Harry Potter and the Half-Blood Prince,7.6,2009
3459,tt0058182,A Hard Day's Night,7.6,1964
1380,tt0319769,Los lunes al sol,7.6,2002
3598,tt0107822,The Piano,7.6,1993
3529,tt0054698,Breakfast at Tiffany's,7.6,1961
1604,tt0314331,Love Actually,7.6,2003
3591,tt0106856,Falling Down,7.6,1993
2639,tt0452623,Gone Baby Gone,7.6,2007
2234,tt0443543,The Illusionist,7.6,2006
3482,tt0099674,The Godfather: Part III,7.6,1990
3525,tt0099785,Home Alone,7.6,1990
3567,tt0106677,Dazed and Confused,7.6,1993
1307,tt0307901,25th Hour,7.6,2002
2527,tt0416449,300,7.6,2007
3569,tt0107808,A Perfect World,7.6,1993
348,tt0988045,Sherlock Holmes,7.6,2009
3711,tt0066473,Tora! Tora! Tora!,7.5,1970
3046,tt0146882,High Fidelity,7.5,2000
2428,tt0375063,Sideways,7.5,2004
545,tt0840361,The Town,7.5,2010
694,tt0171804,Boys Don't Cry,7.5,1999
1397,tt0110322,Legends of the Fall,7.5,1994
1723,tt0119396,Jackie Brown,7.5,1997
1112,tt0970179,Hugo,7.5,2011
224,tt2397535,Predestination,7.5,2014
1088,tt1515091,Sherlock Holmes: A Game of Shadows,7.5,2011
2621,tt0463998,Freedom Writers,7.5,2007
3730,tt0077975,Animal House,7.5,1978
2927,tt0117913,A Time to Kill,7.5,1996
3468,tt0067800,Straw Dogs,7.5,1971
2565,tt0426931,August Rush,7.5,2007
253,tt3316960,Still Alice,7.5,2014
3476,tt0100802,Total Recall,7.5,1990
1674,tt0315983,House of Sand and Fog,7.5,2003
1927,tt0453562,42,7.5,2013
2585,tt0462322,Grindhouse,7.5,2007
997,tt0918927,Doubt,7.5,2008
1077,tt0945513,Source Code,7.5,2011
2892,tt0083907,The Evil Dead,7.5,1981
2891,tt0082010,An American Werewolf in London,7.5,1981
2364,tt0338751,The Aviator,7.5,2004
2365,tt0369339,Collateral,7.5,2004
994,tt1013753,Milk,7.5,2008
2620,tt0427309,The Great Debaters,7.5,2007
1388,tt0110148,Interview with the Vampire,7.5,1994
2604,tt0443680,The Assassination of Jesse James by the Coward Robert Ford,7.5,2007
1689,tt0298228,Whale Rider,7.5,2003
3431,tt0072271,The Texas Chain Saw Massacre,7.5,1974
2858,tt0105151,The Player,7.5,1992
2852,tt0103873,Braindead,7.5,1992
235,tt1020072,Selma,7.5,2014
677,tt1560139,Boy,7.5,2010
1246,tt1613062,The Music Never Stopped,7.5,2011
3531,tt0054953,The Guns of Navarone,7.5,1961
37,tt2381111,Brooklyn,7.5,2015
2199,tt0396171,Perfume: The Story of a Murderer,7.5,2006
3502,tt0099871,Jacob's Ladder,7.5,1990
1874,tt2140373,Saving Mr. Banks,7.5,2013
3530,tt0055614,West Side Story,7.5,1961
1296,tt0274558,The Hours,7.5,2002
2263,tt0448124,Snow Cake,7.5,2006
2812,tt0113677,Living in Oblivion,7.5,1995
3350,tt0095631,Midnight Run,7.5,1988
3334,tt0095159,A Fish Called Wanda,7.5,1988
2514,tt0373889,Harry Potter and the Order of the Phoenix,7.5,2007
3320,tt0094721,Beetlejuice,7.5,1988
2793,tt0112818,Dead Man Walking,7.5,1995
3218,tt0096895,Batman,7.5,1989
1832,tt2042568,Inside Llewyn Davis,7.5,2013
918,tt0441773,Kung Fu Panda,7.5,2008
2327,tt0433416,The Namesake,7.5,2006
3300,tt0101889,The Fisher King,7.5,1991
108,tt3203606,Trumbo,7.5,2015
2691,tt0087800,A Nightmare on Elm Street,7.5,1984
2776,tt0113627,Leaving Las Vegas,7.5,1995
1278,tt0217505,Gangs of New York,7.5,2002
1776,tt0120255,The Sweet Hereafter,7.5,1997
2260,tt0420223,Stranger Than Fiction,7.5,2006
2729,tt0086465,Trading Places,7.5,1983
2070,tt0373469,Kiss Kiss Bang Bang,7.5,2005
2715,tt0087781,The Natural,7.5,1984
2086,tt0408306,Munich,7.5,2005
1819,tt1457767,The Conjuring,7.5,2013
3673,tt0091217,Hoosiers,7.5,1986
3279,tt0103074,Thelma & Louise,7.5,1991
3377,tt0093870,RoboCop,7.5,1987
1062,tt0473367,Jaane Tu... Ya Jaane Na,7.5,2008
2296,tt0475276,United 93,7.5,2006
521,tt1542344,127 Hours,7.5,2010
1261,tt0268380,Ice Age,7.5,2002
1808,tt1951264,The Hunger Games: Catching Fire,7.5,2013
1145,tt1242460,We Need to Talk About Kevin,7.5,2011
2291,tt0460989,The Wind That Shakes the Barley,7.5,2006
1736,tt0118971,The Devil's Advocate,7.5,1997
1842,tt1091191,Lone Survivor,7.5,2013
